ts,q,th
127.0,0.29687019,98.7159
128.0,0.29406382,98.7423
129.0,0.30332322,98.7621
130.0,0.30558851,98.7669
131.0,0.30899884,98.7197
132.0,0.29799101,98.6904
133.0,0.29766265,98.6747
134.0,0.31449907,98.5972
135.0,0.31836132,98.5203
136.0,0.29617082,98.5161
137.0,0.30155083,98.5166
138.0,0.29035352,98.5542
139.0,0.30038756,98.5713
140.0,0.30765458,98.5548
141.0,0.29405476,98.5709
142.0,0.30130246,98.5956
143.0,0.30035014,98.6303
144.0,0.29375326,98.6567
145.0,0.29460225,98.669
146.0,0.31879957,98.6085
147.0,0.28996151,98.6266
148.0,0.29502554,98.6488
149.0,0.28495603,98.6852
150.0,0.29904551,98.688
151.0,0.30396727,98.6771
152.0,0.29472885,98.6797
153.0,0.30344571,98.6655
154.0,0.29276709,98.7007
155.0,0.31268193,98.6701
156.0,0.29968757,98.6499
157.0,0.30778212,98.6029
158.0,0.32180484,98.5334
159.0,0.30437814,98.5199
160.0,0.31333329,98.481
161.0,0.30251078,98.4704
162.0,0.29689529,98.4762
163.0,0.29076996,98.5152
164.0,0.29615224,98.5378
165.0,0.31158181,98.5328
166.0,0.308625,98.5491
167.0,0.28965294,98.5997
168.0,0.29807327,98.6314
169.0,0.28700277,98.6765
170.0,0.30306596,98.6668
171.0,0.30968992,98.6243
172.0,0.29252683,98.6328
173.0,0.27203976,98.7145
174.0,0.30696732,98.7215
175.0,0.33206908,98.6296
176.0,0.30536007,98.5948
177.0,0.30298451,98.5664
178.0,0.30284043,98.5582
179.0,0.30959664,98.545
180.0,0.32087593,98.4678
181.0,0.31524681,98.3846
182.0,0.29804739,98.405
183.0,0.3001726,98.4585
184.0,0.3024634,98.4806
185.0,0.29145515,98.5123
186.0,0.31157783,98.4964
187.0,0.30161908,98.5172
188.0,0.31557064,98.523
189.0,0.29806456,98.5607
190.0,0.31651301,98.5278
191.0,0.28101222,98.5726
192.0,0.31822525,98.5287
193.0,0.28481585,98.5581
194.0,0.28948929,98.5984
195.0,0.30049931,98.6155
196.0,0.28545251,98.6742
197.0,0.30466546,98.6813
198.0,0.30545437,98.6845
199.0,0.31320319,98.6439
200.0,0.29595506,98.6591
201.0,0.51404602,97.9453
202.0,0.53628388,97.0605
203.0,0.22163173,97.2014
204.0,0.68531548,95.7745
205.0,0.59936064,94.6786
206.0,0.43725467,94.7928
207.0,0.19462031,95.3673
208.0,0.27077614,95.8631
209.0,0.67697089,95.2154
210.0,0.6227255,95.2343
211.0,0.54256859,95.13
212.0,0.60860874,93.7575
213.0,0.35315852,94.1781
214.0,0.56075896,94.4763
215.0,0.51025983,94.7334
216.0,0.34457116,95.2029
217.0,0.34745987,95.7421
218.0,0.12284835,96.317
219.0,0.45201226,96.4813
220.0,0.43558697,96.5949
221.0,0.65358888,96.2466
222.0,0.1801124,96.6658
223.0,0.47944289,96.3206
224.0,0.42081222,95.8216
225.0,0.61939594,95.2081
226.0,0.59175487,95.1532
227.0,0.51813826,94.6383
228.0,0.40020666,94.7396
229.0,0.52391591,94.632
230.0,0.5357559,94.8203
231.0,0.5319997,94.9675
232.0,0.36424242,95.3375
233.0,0.18589679,95.839
234.0,0.68584126,95.2388
235.0,0.33622582,95.6326
236.0,0.53118168,95.6948
237.0,0.49847307,95.6256
238.0,0.42100693,95.2419
239.0,0.28031131,95.7136
240.0,0.45256258,96.0696
241.0,0.29243332,96.341
242.0,0.50869764,96.3583
243.0,0.49131047,96.3664
244.0,0.46708253,96.1791
245.0,0.63142232,95.2618
246.0,0.24889856,95.4743
247.0,0.414501,95.5366
248.0,0.26507432,96.0093
249.0,0.38451435,96.3131
250.0,0.61170986,96.0136
251.0,0.64371887,95.6229
252.0,0.6058901,94.6334
253.0,0.67431869,93.3411
254.0,0.59976568,93.2781
255.0,0.59339735,93.4071
256.0,0.61091227,93.426
257.0,0.45239811,93.9276
258.0,0.53109052,94.2387
259.0,0.55161963,94.3833
260.0,0.6007972,94.3968
261.0,0.46064102,94.6449
262.0,0.32801407,94.9992
263.0,0.43197897,95.2615
264.0,0.65239567,95.0
265.0,0.4602203,95.294
266.0,0.42168732,95.5216
267.0,0.48112248,95.2195
268.0,0.34745652,95.3786
269.0,0.63723684,95.2929
270.0,0.68492003,94.6387
271.0,0.29193437,94.935
272.0,0.45653912,94.9902
273.0,0.54972003,94.6009
274.0,0.37445075,95.113
275.0,0.43537344,95.6695
276.0,0.56993268,95.512
277.0,0.19378756,95.8808
278.0,0.3868274,96.1203
279.0,0.32743012,96.5587
280.0,0.59972802,96.088
281.0,0.37234849,96.2296
282.0,0.56108616,96.0848
283.0,0.4350878,95.67
284.0,0.58815593,94.9306
285.0,0.56289062,94.8282
286.0,0.50519777,94.625
287.0,0.52746067,94.5858
288.0,0.59369489,94.3131
289.0,0.11009707,94.8792
290.0,0.52542009,95.1545
291.0,0.40705636,95.4683
292.0,0.46217259,95.6305
293.0,0.47066,95.824
294.0,0.48603481,95.8622
295.0,0.39390059,95.7957
296.0,0.61870608,95.2758
297.0,0.29263102,95.599
298.0,0.43091432,95.7307
299.0,0.42548298,95.872
300.0,0.61374861,95.367
301.0,0.22423057,95.8543
302.0,0.45586128,96.1798
303.0,0.58022389,95.5198
304.0,0.38119881,95.6023
305.0,0.66926299,95.2125
306.0,0.69999779,93.9593
307.0,0.69785733,93.3708
308.0,0.57060719,92.9567
309.0,0.40861036,93.5109
310.0,0.5928682,93.8444
311.0,0.33116645,94.5679
312.0,0.51466006,95.074
313.0,0.49140136,95.3492
314.0,0.36034886,95.6204
315.0,0.33268964,95.9929
316.0,0.50462239,96.076
317.0,0.47954961,95.8886
318.0,0.57304585,95.6745
319.0,0.51756186,95.3137
320.0,0.68792863,94.2236
321.0,0.59363505,93.8348
322.0,0.49623617,93.9509
323.0,0.2985277,94.4895
324.0,0.2699699,95.0518
325.0,0.4836541,95.4736
326.0,0.35749161,96.097
327.0,0.50301853,96.3893
328.0,0.4014143,96.6548
329.0,0.54558993,95.9739
330.0,0.23761447,96.182
331.0,0.61297963,95.63
332.0,0.62677399,95.0182
333.0,0.40033365,95.0627
334.0,0.29767351,95.5053
335.0,0.57159182,95.0012
336.0,0.53893064,95.0295
337.0,0.43252052,95.4674
338.0,0.50838856,95.4409
339.0,0.49650866,94.9936
340.0,0.47145133,95.1549
341.0,0.5201402,95.2133
342.0,0.64948329,94.6097
343.0,0.51991147,94.5179
344.0,0.3628135,94.8266
345.0,0.2051193,95.3465
346.0,0.52260907,95.3737
347.0,0.4056875,95.7606
348.0,0.18295383,96.4116
349.0,0.31451169,97.0362
350.0,0.51863758,97.0516
351.0,0.44171907,96.672
352.0,0.50173744,96.4219
353.0,0.56611235,95.7827
354.0,0.41967118,95.2988
355.0,0.41589268,95.4234
356.0,0.42071102,95.556
357.0,0.25328118,96.0007
358.0,0.50762348,96.0854
359.0,0.43925346,96.331
360.0,0.27289977,96.7117
361.0,0.39710681,96.8094
362.0,0.54814705,96.3784
363.0,0.49994632,95.8958
364.0,0.62482275,95.3714
365.0,0.48694736,94.8099
366.0,0.67701701,94.052
367.0,0.22853761,94.6043
368.0,0.4636341,94.8293
369.0,0.27238289,95.4426
370.0,0.69012418,95.1472
371.0,0.4941101,95.3875
372.0,0.55351489,95.0667
373.0,0.28506229,95.3302
374.0,0.46348337,95.0642
375.0,0.22761242,95.6346
376.0,0.4508585,96.141
377.0,0.64612056,95.8332
378.0,0.44846621,95.8887
379.0,0.61896107,95.0857
380.0,0.69521277,93.7305
381.0,0.4940241,93.9468
382.0,0.28293396,94.5456
383.0,0.61370102,94.3258
384.0,0.32601121,94.91
385.0,0.53990243,95.3246
386.0,0.53670606,95.4267
387.0,0.67614895,94.4907
388.0,0.4561734,94.6408
389.0,0.30686544,94.8564
390.0,0.29344569,95.328
391.0,0.37662618,95.7399
392.0,0.67600188,95.5705
393.0,0.51355244,95.7597
394.0,0.61623088,94.904
395.0,0.23123453,95.0582
396.0,0.64987705,94.3845
397.0,0.66220399,94.2323
398.0,0.4599926,94.4365
399.0,0.37607246,94.9214
400.0,0.45728711,94.7382
401.0,0.44473443,95.1386
402.0,0.62229468,95.2729
403.0,0.33095043,95.6975
404.0,0.42452335,95.7335
405.0,0.57766774,95.2633
406.0,0.60015842,94.8337
407.0,0.54322557,94.8828
408.0,0.56260874,94.2695
409.0,0.54743398,94.1315
410.0,0.3917064,94.5802
411.0,0.31268724,95.1837
412.0,0.54928714,95.2869
413.0,0.6475643,95.0304
414.0,0.31097054,95.5129
415.0,0.1346542,96.0666
416.0,0.31755922,96.4435
417.0,0.31869419,96.5748
418.0,0.3306124,96.7696
419.0,0.54145761,96.8566
420.0,0.543904,96.9332
421.0,0.48107606,96.1495
422.0,0.39622224,95.795
423.0,0.46011874,95.3762
424.0,0.39499002,95.5784
425.0,0.2592332,96.118
426.0,0.62418868,95.9359
427.0,0.45086433,95.9233
428.0,0.29926644,96.1924
429.0,0.53503248,95.9473
430.0,0.65823503,94.8352
431.0,0.62950189,94.5848
432.0,0.53854904,94.0747
433.0,0.33401929,94.2993
434.0,0.31385718,94.8193
435.0,0.1683324,95.4777
436.0,0.3107481,96.1811
437.0,0.27157574,96.8545
438.0,0.41386069,97.3686
439.0,0.49879873,97.5455
440.0,0.67039286,96.487
441.0,0.35706224,96.0484
442.0,0.18245182,96.2618
443.0,0.19202749,96.4979
444.0,0.6312282,95.7103
445.0,0.63130984,95.3964
446.0,0.64382505,95.1389
447.0,0.49325503,94.0657
448.0,0.3152489,94.3218
449.0,0.46851726,94.7246
450.0,0.6002392,94.8547
451.0,0.65543505,94.7681
452.0,0.50760278,94.6026
453.0,0.49386402,94.2497
454.0,0.46212919,94.4142
455.0,0.57530938,94.5564
456.0,0.40044672,95.0828
457.0,0.31517578,95.5922
458.0,0.4792232,95.7099
459.0,0.42257828,95.8594
460.0,0.60599017,95.629
461.0,0.67231173,94.8565
462.0,0.13851139,95.2203
463.0,0.38558338,95.3378
464.0,0.45488133,95.3376
465.0,0.63317621,95.0441
466.0,0.6125058,95.1236
467.0,0.35964296,95.2198
468.0,0.56752521,94.535
469.0,0.61081033,94.2595
470.0,0.44133594,94.6832
471.0,0.55739539,94.7368
472.0,0.43387997,94.719
473.0,0.48468115,94.9349
474.0,0.48437922,95.2301
475.0,0.25747208,95.717
476.0,0.43291863,95.9272
477.0,0.58695638,95.7198
478.0,0.36718324,95.9189
479.0,0.38874028,96.1655
480.0,0.32284045,96.4985
481.0,0.57663271,95.7818
482.0,0.52259257,95.6944
483.0,0.53237847,95.5173
484.0,0.39808124,95.4423
485.0,0.30353954,95.5699
486.0,0.32247045,95.8741
487.0,0.45514975,96.1518
488.0,0.48748467,96.2768
489.0,0.3088456,96.7228
490.0,0.64994978,96.033
491.0,0.43527675,95.6013
492.0,0.1936905,95.9554
493.0,0.31193264,96.2874
494.0,0.50037995,96.2341
495.0,0.68460399,95.4532
496.0,0.29418243,96.0194
497.0,0.40103968,96.1989
498.0,0.38935187,95.8304
499.0,0.41070859,95.7477
500.0,0.309127,96.2006
501.0,0.39562363,96.7552
502.0,0.42219903,96.9439
503.0,0.53080542,96.4524
504.0,0.5152883,96.0555
505.0,0.20256946,96.4233
506.0,0.40176145,96.3084
507.0,0.24586717,96.5913
508.0,0.4918894,96.4215
509.0,0.47020973,96.4912
510.0,0.37889859,96.81
511.0,0.36088938,96.8936
512.0,0.44838466,96.5312
513.0,0.53763316,95.9005
514.0,0.39725725,96.0699
515.0,0.12345741,96.5516
516.0,0.67583095,95.7752
517.0,0.26512288,95.9982
518.0,0.39381777,96.1381
519.0,0.66559077,95.6738
520.0,0.40837259,95.4064
521.0,0.31074344,95.6868
522.0,0.68464794,95.0476
523.0,0.27716232,95.2421
524.0,0.2079043,95.7713
525.0,0.66870038,95.6888
526.0,0.58824084,94.935
527.0,0.3433737,95.3683
528.0,0.26559559,96.0352
529.0,0.36185908,96.0923
530.0,0.44760898,95.8414
531.0,0.35573556,96.3889
532.0,0.37625468,96.9146
533.0,0.49399421,96.9068
534.0,0.62948021,95.7281
535.0,0.61598981,94.9704
536.0,0.54232648,94.3262
537.0,0.49737904,94.1159
538.0,0.57711857,94.1101
539.0,0.63850889,94.0698
540.0,0.61673693,93.9202
541.0,0.57786962,93.6974
542.0,0.35084581,94.1554
543.0,0.69664504,93.9772
544.0,0.36536743,94.5337
545.0,0.42015307,95.0373
546.0,0.38465771,95.522
547.0,0.57217206,95.2135
548.0,0.68981657,94.9836
549.0,0.58053972,94.3913
550.0,0.44377919,94.2244
551.0,0.53092005,94.1009
552.0,0.45878532,94.4995
553.0,0.26639786,95.2327
554.0,0.32097094,95.9102
555.0,0.62107654,95.7759
556.0,0.47527105,95.7679
557.0,0.65255893,95.2724
558.0,0.63666529,93.9738
559.0,0.38053925,94.2365
560.0,0.52595433,94.3659
561.0,0.67757967,94.0405
562.0,0.49189759,94.4
563.0,0.60704529,94.2091
564.0,0.22280771,94.6354
565.0,0.3256321,95.1
566.0,0.67751029,95.0549
567.0,0.58009355,94.9349
568.0,0.62394126,94.7296
569.0,0.19532852,94.9887
570.0,0.48146721,94.6306
571.0,0.42033218,95.106
572.0,0.67392547,94.9812
573.0,0.32772653,95.5323
574.0,0.34790474,95.9728
575.0,0.51315005,95.5371
576.0,0.63595636,94.9407
577.0,0.49409533,95.2375
578.0,0.25169283,95.7091
579.0,0.5848631,94.9978
580.0,0.58247231,94.7434
581.0,0.55736339,94.8811
582.0,0.2196607,95.4365
583.0,0.63004928,94.6966
584.0,0.23977892,95.2257
585.0,0.69247386,95.0129
586.0,0.36982112,95.4313
587.0,0.47379159,95.2948
588.0,0.54900013,95.1778
589.0,0.57334039,94.6772
590.0,0.65964739,94.4189
591.0,0.54994719,93.9941
592.0,0.64313024,93.6164
593.0,0.31440782,94.146
594.0,0.60061919,94.2599
595.0,0.37637232,94.8287
596.0,0.46636384,95.1378
597.0,0.64269065,95.0807
598.0,0.55529225,94.6483
599.0,0.43098743,94.9296
600.0,0.31265783,95.1962
601.0,0.63874145,94.7401
602.0,0.33754869,95.3014
603.0,0.49364503,95.6061
604.0,0.41913044,95.8224
605.0,0.36633714,95.8987
606.0,0.59703819,95.5899
607.0,0.35186897,95.9339
608.0,0.53775118,95.6235
609.0,0.40199768,95.7346
610.0,0.48297834,95.4807
611.0,0.45416744,95.6306
612.0,0.51710422,95.4683
613.0,0.54099465,95.2935
614.0,0.17892119,95.7747
615.0,0.60223409,95.3876
616.0,0.42117904,95.4777
617.0,0.49098446,95.4828
618.0,0.6739459,95.0183
619.0,0.57247747,94.3378
620.0,0.59151455,94.049
621.0,0.57746731,93.6916
622.0,0.45431389,94.0998
623.0,0.43426455,94.6009
624.0,0.35638528,95.1207
625.0,0.5549336,95.2727
626.0,0.33968113,95.7803
627.0,0.53864805,95.8079
628.0,0.43439598,95.8308
629.0,0.37312298,95.9102
630.0,0.4055288,95.9992
631.0,0.38561935,96.2788
632.0,0.5494294,95.932
633.0,0.66490474,95.3235
634.0,0.5853498,94.602
635.0,0.63865269,93.6828
636.0,0.17873148,94.215
637.0,0.6768237,94.0707
638.0,0.22165923,94.7724
639.0,0.43567114,95.2959
640.0,0.30956285,95.881
641.0,0.59264368,95.9519
642.0,0.15849096,96.3037
643.0,0.515167,96.3968
644.0,0.64782526,95.5434
645.0,0.27222537,95.7801
646.0,0.49228908,95.5854
647.0,0.24109885,96.1202
648.0,0.4969381,95.749
649.0,0.42390337,95.9936
650.0,0.46617721,96.3326
651.0,0.42727467,96.2143
652.0,0.43510799,96.1515
653.0,0.4979831,95.7722
654.0,0.65776003,95.0782
655.0,0.55364384,94.7164
656.0,0.51023103,94.4451
657.0,0.15743911,94.9314
658.0,0.37633958,95.2611
659.0,0.42569279,95.6242
660.0,0.57228117,95.8088
661.0,0.50063289,95.9364
662.0,0.49604696,95.6928
663.0,0.36913811,95.4912
664.0,0.27770059,95.7749
665.0,0.30832835,96.1409
666.0,0.41069887,96.4973
667.0,0.59770377,96.3064
668.0,0.36767093,96.572
669.0,0.32685152,96.7981
670.0,0.43763425,96.4335
671.0,0.53349101,95.7594
672.0,0.48605309,95.7692
673.0,0.24092666,96.3282
674.0,0.46137064,96.2267
675.0,0.421917,96.0358
676.0,0.26350357,96.3984
677.0,0.47109426,96.5455
678.0,0.28901983,96.9802
679.0,0.34105019,97.1932
680.0,0.44794344,96.9522
681.0,0.41015539,97.0055
682.0,0.69163479,95.8342
683.0,0.63395218,94.7768
684.0,0.40868314,94.5859
685.0,0.44831184,94.5323
686.0,0.59494385,94.3309
687.0,0.68220621,94.2905
688.0,0.38549946,94.7263
689.0,0.50502887,94.5441
690.0,0.49508277,94.5346
691.0,0.29621659,95.1213
692.0,0.4765844,95.6061
693.0,0.47381721,95.8334
694.0,0.56582048,95.5131
695.0,0.24978592,95.9865
696.0,0.34150981,96.3327
697.0,0.31546722,96.4708
698.0,0.42472601,96.5112
699.0,0.41996409,96.6573
700.0,0.36696368,97.008
701.0,0.31028505,97.3978
702.0,0.6180889,96.3953
703.0,0.35702639,96.2947
704.0,0.63451015,95.5767
705.0,0.59064205,94.7697
706.0,0.67060496,93.994
707.0,0.35984892,94.2922
708.0,0.37700185,94.5347
709.0,0.49423088,94.8733
710.0,0.56153864,95.0084
711.0,0.48017779,95.4196
712.0,0.46828308,95.4417
713.0,0.40957495,95.3488
714.0,0.61894594,94.9357
715.0,0.43665655,95.1909
716.0,0.17653011,95.7445
717.0,0.64501135,95.352
718.0,0.66786666,94.575
719.0,0.50181557,94.7569
720.0,0.69609533,93.5337
721.0,0.43152382,93.809
722.0,0.50944143,94.2143
723.0,0.59689479,94.2353
724.0,0.43491194,94.5774
725.0,0.20976967,95.3032
726.0,0.49245914,95.6098
727.0,0.28710292,95.994
728.0,0.50425144,96.0834
729.0,0.67364864,95.7458
730.0,0.5466301,94.9984
731.0,0.3359162,95.2048
732.0,0.49989745,94.8014
733.0,0.60705126,94.5707
734.0,0.38138595,95.1458
735.0,0.38786588,95.6298
736.0,0.6793,94.8252
737.0,0.68422086,94.2689
738.0,0.50785955,94.2618
739.0,0.4007091,94.2128
740.0,0.48275039,94.3345
741.0,0.24960685,95.0504
742.0,0.59746769,95.3885
743.0,0.54675707,95.4833
744.0,0.51227896,95.2702
745.0,0.33415775,95.543
746.0,0.33198372,95.688
747.0,0.30980882,95.9299
748.0,0.37534543,96.3734
749.0,0.3302684,96.865
750.0,0.59141976,96.755
751.0,0.62480318,95.9081
752.0,0.58984174,94.8593
753.0,0.25680942,95.0805
754.0,0.30729164,95.2206
755.0,0.35787744,95.5389
756.0,0.57857207,95.6468
757.0,0.4809071,95.9673
758.0,0.42765729,96.2757
759.0,0.62310947,95.1324
760.0,0.40062703,95.0155
761.0,0.51305235,95.1094
762.0,0.58617454,94.7993
763.0,0.68559795,94.2076
764.0,0.66493947,93.5926
765.0,0.60373712,93.2311
766.0,0.58488522,93.2385
767.0,0.54864868,93.5783
768.0,0.61182951,93.7649
769.0,0.52550088,94.0222
770.0,0.581381,94.0748
771.0,0.42981436,94.4131
772.0,0.50848054,94.6124
773.0,0.4400732,95.0013
774.0,0.59493148,94.891
775.0,0.46464415,95.1253
776.0,0.55036938,94.877
777.0,0.59990798,94.4941
778.0,0.49467768,94.4921
779.0,0.3823367,94.9231
780.0,0.50917187,94.9125
781.0,0.46320528,95.1255
782.0,0.6369451,95.0035
783.0,0.44405183,95.1208
784.0,0.36465878,95.2521
785.0,0.45888306,95.3256
786.0,0.10405638,95.8147
787.0,0.53741563,95.8379
788.0,0.25772945,96.4377
789.0,0.49927111,96.6413
790.0,0.54572186,96.2104
791.0,0.54120015,95.6568
792.0,0.57206855,95.0628
793.0,0.53519836,94.4741
794.0,0.68207777,93.9356
795.0,0.37479262,94.3104
796.0,0.58721672,94.2704
797.0,0.14001168,94.8672
798.0,0.25345937,95.5049
799.0,0.22745673,96.1
800.0,0.6504476,96.1553
801.0,0.18262941,96.7567
802.0,0.36358829,97.0394
803.0,0.19351877,97.5309
804.0,0.20261086,98.0812
805.0,0.34466012,98.1685
806.0,0.20516149,98.2445
807.0,0.25489762,98.2873
808.0,0.44046921,98.4241
809.0,0.45182346,98.2973
810.0,0.42640549,97.8398
811.0,0.19268513,97.9083
812.0,0.35067907,97.6774
813.0,0.32333343,97.4782
814.0,0.25341607,97.5231
815.0,0.25511131,97.7891
816.0,0.18096197,98.2143
817.0,0.26470857,98.6006
818.0,0.43084583,98.6431
819.0,0.39068085,98.4199
820.0,0.49163931,97.861
821.0,0.51497101,96.9884
822.0,0.44767107,96.1024
823.0,0.16354843,96.347
824.0,0.19607316,96.7039
825.0,0.23300063,97.0859
826.0,0.35906062,97.2444
827.0,0.35868551,97.4915
828.0,0.36099514,97.812
829.0,0.24946826,98.2754
830.0,0.23924504,98.7121
831.0,0.30626126,98.8482
832.0,0.31001596,98.5828
833.0,0.34626315,98.3001
834.0,0.38763125,98.1706
835.0,0.19862652,98.4706
836.0,0.3630633,98.4562
837.0,0.17286412,98.6841
838.0,0.15476306,98.9065
839.0,0.36655763,98.66
840.0,0.56644625,97.8202
841.0,0.14065499,98.1477
842.0,0.24101834,98.4321
843.0,0.394066,98.2178
844.0,0.30530251,98.1746
845.0,0.4740389,97.2676
846.0,0.24255845,97.4269
847.0,0.47537313,97.4819
848.0,0.37176098,97.275
849.0,0.22760989,97.3716
850.0,0.19161296,97.6808
851.0,0.38720572,97.6138
852.0,0.12706572,97.99
853.0,0.18654334,98.4127
854.0,0.1463748,98.8228
855.0,0.40608132,98.7328
856.0,0.12785727,99.1125
857.0,0.48612619,99.0027
858.0,0.38481131,98.6706
859.0,0.41086037,98.2282
860.0,0.26638386,98.1473
861.0,0.34969269,97.5919
862.0,0.61231059,96.3905
863.0,0.23890138,96.6869
864.0,0.1817672,97.1453
865.0,0.23502619,97.5304
866.0,0.1512448,97.941
867.0,0.22341119,98.31
868.0,0.14732901,98.6777
869.0,0.1795949,98.9734
870.0,0.23037236,99.1809
871.0,0.38446514,99.2867
872.0,0.43193675,99.4904
873.0,0.50232843,98.6733
874.0,0.38105386,97.9687
875.0,0.23872657,97.7766
876.0,0.38124831,97.0708
877.0,0.33925276,96.9324
878.0,0.25063662,97.2319
879.0,0.23823534,97.6213
880.0,0.291621,98.0054
881.0,0.29512106,98.3848
882.0,0.31730476,98.5811
883.0,0.54976722,97.8516
884.0,0.34504903,97.8283
885.0,0.10633589,98.1506
886.0,0.3025357,98.1146
887.0,0.15792626,98.3137
888.0,0.42958573,97.8706
889.0,0.32107846,97.7978
890.0,0.21409745,98.0758
891.0,0.18884214,98.5097
892.0,0.24859833,98.9777
893.0,0.32215574,99.186
894.0,0.19494995,99.3431
895.0,0.16273534,99.5079
896.0,0.33090794,99.2893
897.0,0.29361081,99.3605
898.0,0.32598248,99.4371
899.0,0.13940313,99.6969
900.0,0.4178754,99.1275
901.0,0.17932187,99.244
902.0,0.18321508,99.4355
903.0,0.34236172,99.1943
904.0,0.36557708,98.7642
905.0,0.49095179,98.152
906.0,0.33545272,97.9662
907.0,0.34562471,97.802
908.0,0.17712013,98.0701
909.0,0.18285133,98.2209
910.0,0.11715482,98.4332
911.0,0.39296264,98.1555
912.0,0.35433543,98.1784
913.0,0.18374547,98.5832
914.0,0.23967662,98.9997
915.0,0.19823075,99.3782
916.0,0.32071657,99.4888
917.0,0.39111222,99.141
918.0,0.13070432,99.2677
919.0,0.30163596,99.0104
920.0,0.305354,99.0562
921.0,0.25040777,99.2493
922.0,0.15144255,99.4889
923.0,0.33936234,99.1946
924.0,0.11554296,99.3952
925.0,0.23759627,99.4576
926.0,0.2743536,99.5699
927.0,0.14909495,99.8805
928.0,0.30765977,99.8373
929.0,0.24410252,99.8795
930.0,0.12086844,100.145
931.0,0.19041405,100.353
932.0,0.21453004,100.455
933.0,0.30471789,100.278
934.0,0.22721754,100.318
935.0,0.2763501,100.173
936.0,0.35789227,99.8012
937.0,0.14124513,99.9629
938.0,0.35516833,99.6915
939.0,0.12981258,99.8846
940.0,0.1740715,99.958
941.0,0.25406338,99.778
942.0,0.39258127,99.3005
943.0,0.21688721,99.3892
944.0,0.2251562,99.4766
945.0,0.40144172,99.2043
946.0,0.36608911,98.8995
947.0,0.20039922,99.0321
948.0,0.38014131,98.4637
949.0,0.3307077,98.2435
950.0,0.43093745,97.8863
951.0,0.411738,97.382
952.0,0.2375903,97.6307
953.0,0.17331833,98.0009
